ID,Bearbeiter 1,Bearbeiter 2,Title,Authors,DOI,Jahr,Track,Keywords,Research question,Goal of the paper,Motivation of the Paper,Outcome of the Paper,Type of inquiry 1,Type of inquiry 2,Type of Theory,Emphasis,Formal concepts,Algorithms,Hypothesis,Independent Variables,Dependent Variables,Type of Artefact 1,Research Method 1,Research Method 2,Research Method 3,Research Method 4,Type of data,Total participants count,Students Count,Practitioners Count,Data accessibility,Data Metadata,Material accessibility,Evaluation Method 1,Evaluation Method 2,Evaluation Method 3,Evaluation Method 4,Threats to Validity 1,Threats to Validity 2,Threats to Validity 3,Threats to Validity 4,Existence,Availability,Type of Artefact 2,Research Method 1.1,Research Method 2.1,Research Method 3.1,Research Method 4.1,Type of data.1,Total participants count.1,Students Count.1,Practitioners Count.1,Data format,Data accessibility.1,Data Metadata.1,Material accessibility.1,Data License.1,Evaluation Method 1.1,Evaluation Method 2.1,Evaluation Method 3.1,Evaluation Method 4.1,Threats to Validity 1.1,Threats to Validity 2.1,Threats to Validity 3.1,Threats to Validity 4.1,Existence.1,Availability.1,Comments
1.0,FS/MS,MH,"Efficient Optimal Alignment Between
Dynamic Condition Response Graphs
and Traces","Axel Kjeld Fjelrad Christfort, Tijs Slaats",https://doi.org/10.1007/978-3-031-41620-0_1,2023.0,Foundation,"Trace alignment, DCR graphs, Conformance checking, Declarative process models, Test-driven Modelling",not existing,In this paper we address this open gap in the research by developing an algorithm for efficiently computing the optimal alignment of a DCR Graph and a trace.,"The problem of aligning traces with DCR Graphs, with it’s multitude of applications such as conformance checking and log repair, has surprisingly not been solved yet.","We evaluate the algorithm on the PDC 2022 dataset, showing that even for large models and traces alignment problems can be solved within milliseconds, and present a case study based on test-driven modelling.",Information systems engineering,Formal science,Formal theory,Both,Yes,Yes,No,,,Algorithm,Formal Proof,,,,Real-world data,,,,"Yes, via reference",,"Yes, in the paper",Verification,Motivating Example,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,Case Study,,,None,,,,Yes,Yes,
2.0,FS/MS,MH,Can I Trust My Simulation Model? Measuring the Quality of Business Process Simulation Models,"David Chapela-Campa, Ismail Benchekroun, Opher Baron, Marlon Dumas,  Dmitry Krass, Arik Senderovich",https://doi.org/10.1007/978-3-031-41620-0_2,2023.0,Foundation,"Business process simulation, Process mining","Regardless of its origin, a key question when using a BPS model is how to assess its quality.","In this paper, we study the problem of automatically measuring the quality
 of a BPS model w.r.t. its ability to replicate the observed behavior of a process as recorded in an event log","However, these approaches are either manual and qualitative [22] or they produce a single number that does not allow one to identify the source(s) of deviations between the BPS model and the observed reality [6,10].","We proposed a multi-perspective approach to measure the ability of a BPS model to replicate the behavior recorded in an event log. The approach decomposes simulation models into three perspectives: control-flow, temporal, and congestion. We defined measures for each of these perspectives.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Framework,Design (Science/Engineering),,,,Both,,,,"Yes, in the paper",,No,Benchmark,Verification,Technical Experiment,,External Validity,Internal Validity,Construct Validity,Ecological Validity,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,FS/MS,MH,Event Abstraction for Partial Order Patterns,"Chiao-Yun Li, Sebastiaan J. van Zels, Wil M. P. van der Aalst",https://doi.org/10.1007/978-3-031-41620-0_3,2023.0,Foundation,"Process mining, Event abstraction, Partial orders",not existing,"In this paper, we propose an event abstraction framework based on partial order patterns.","Owing to the limitation of the information systems deployed in practice, most abstraction techniques are developed based on the assumption that all process activities are performed sequentially, ignoring the fact that there may be activities performed concurrently or the relation of the activity executions could not be clearly defined. ","We implemented the framework and conducted experiments by constructing a hierarchyof
abstractions based on a synthetic and a real-life log. The experiments 
demonstrate the impact of noises and how one can obtain insights from 
the analysis based on abstracted logs.",Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Framework,Design (Science/Engineering),,,,Both,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,,"Yes, in the paper",,No,,Verification,Case Study,,,None,,,,Yes,Yes,
4.0,FS/MS,MH,"Incremental Discovery of Process Models
Using Trace Fragments","Daniel Schuster, Niklas Föcking, Sebastiaan J. van Zelst, Wil M. P. van der Aalst",https://doi.org/10.1007/978-3-031-41620-0_4,2023.0,Foundation,"Process mining, Process discovery, Alignments","How can trace fragments, i.e., trace prefixes/infixes/postfixes, be (incrementally) added to a process model?","This paper presents a novel IPD approach that can incorporate process behavior recorded in trace fragments, thus supporting incomplete data.",Incomplete traces are usually removed in the event data preparation as most discovery algorithms cannot handle them respectively treat them simply as full traces.,"We presented an IPD approach supporting trace fragments—prefix, infix, and postfix traces. Supporting trace fragments and thus incomplete data within process discovery is a novelty, as the general practice regarding trace fragments usually focuses on filtering or considering fragments as full traces.",Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Algorithm,Design (Science/Engineering),,,,Real-world data,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Benchmark,,,,None,,,,Yes,Yes,
5.0,FS/MS,MH,Approximating Multi-perspective Trace Alignment Using Trace Encodings.,"Alessandro Gianola, Jonghyeon Ko, Fabrizio Maria Maggi, Marco Montali, Sarah Winkler",https://doi.org/10.1007/978-3-031-41620-0_5,2023.0,Foundation,"Conformance checking, Trace Encoding, Multi-Perspective process mining, SMT",not existing,"In this paper, we propose an alternative approach for data-aware conformance checking, which approximates optimal alignments based on machine learning techniques, in particular lossy trace encodings [12,14].","One crucial aspect is to consider, in the alignment task, not only the control flow perspective but also other sources of information available in event logs like data pay-loads. However, the combination of these dimensions makes the problem of multi-perspective trace alignment highly challenging since the number of traces accepted by the model is typically infinite.","Our experiments show that the approximate approach is faster than the optimal one and, for encodings sufficient rich, able to provide accurate results.",Information systems engineering,Formal science,Formal theory,Both,Yes,No,No,,,Technique,Formal Proof,Design (Science/Engineering),Illustrative Example,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,,,,None,,,,Yes,Yes,
6.0,FS,MS,POWL: Partially Ordered Workflow Language,"Humam Kourani, Sebastiaan J. van Zelst",https://doi.org/10.1007/978-3-031-41620-0_6,2023.0,Foundation,"POWL, process modeling, partial order, process tree",not existing,"Therefore, in this paper, we present a novel process modeling notation, i.e., the Partially Ordered Workflow Language (POWL).","On the one hand, partially ordered graph representations allow us to easily model concurrent and sequential behavior between activities while ensuring simplicity and scalability. On the other hand, partial orders lack the support for typical process constructs such as choice and loop structures.","We proposed an approach to demonstrate the feasibility of using POWL models in process discovery. We evaluated our approach using real-life event logs, and the evaluation showed that our approach is able to discover dependencies that cannot be captured by a process tree.",Formal science,Meta-analysis,Formal theory,Artefact,Yes,No,No,,,Language,Illustrative Example,,,,Undefined,,,,"Yes, in the paper",,No,Motivating Example,,,,None,,,,No,No,Prototype,Illustrative Example,,,,Real-world data,,,,,"Yes, via reference",,No,,Benchmark,,,,None,,,,Yes,No,"3. Artefact: Algorithm (In this paper, we extend
the base variant of the inductive miner that assumes a noise-free event log and
returns a model that perfectly fits the input event log.
Kapitel 6)"
7.0,FS,MH,"Polynomial-Time Conformance Checking
for Process Trees","Eduardo Goulart Rocha, Wil M. P. van der Aalst",https://doi.org/10.1007/978-3-031-41620-0_7,2023.0,Foundation,"Process mining, Conformance Checking, Process Trees",not existing,"In this paper, we present a polynomial-time method to compute the markovian-based fitness and precision metrics for process trees.","State-of-the-art conformance checking techniques do not scale for large process models and event logs, which hampers its broader adoption.","First, we presented an alternative definition of the markovian abstraction that can be more easily manipulated using techniques from automata theory. Next, we showed how to exploit the tree-structure of process trees to perform polynomial-time conformance checking with guarantees. ",Formal science,Information systems engineering,Formal theory,Theory,Yes,No,"Yes, propositions",,,Technique,Formal Proof,Design (Science/Engineering),,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,No,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Benchmark,Technical Experiment,,,None,,,,Yes,No,
8.0,FS,MH,"Investigating the Influence of Data-Aware
Process States on Activity Probabilities
in Simulation Models: Does Accuracy
Improve?","Massimiliano de Leoni, Francesco Vinci, Sander J. J. Leemans, Felix Mannhardt",https://doi.org/10.1007/978-3-031-41620-0_8,2023.0,Engineering,"Process Simulation, Stochastic Models, Branching
Probabilities, Process Mining",not existing,"This paper introduces the concept of process state, which is a faithful abstraction of a case, and investigates the research question how a proper choice of this abstraction allows a more accurate estimation of the activity firing probabilities of simulation models, with respect to the simple branching probabilities.","Literature determines these probabilities by looking at the frequency of the activity occurrences when they are enabled. This is a coarse determination, because this way does not consider the actual process state, which might influence the probabilities themselves (e.g., a thorough loan assessment is more likely for larger loan requests). ","The technique has been operationalized using stochastic labelled Data Petri nets, a simple language, yet sufficiently expressive to model weights, probabilities, and process states.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Framework,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Case Study,Technical Experiment,,,None,,,,Yes,No,
9.0,FS,MH,"DyLoPro: Profiling the Dynamics of Event
Logs","Brecht Wuyts, Hans Weytjens, Seppe vanden Broucke,  Jochen De Weerdt",https://doi.org/10.1007/978-3-031-41620-0_9,2023.0,Engineering,"Process Mining, Event Logs, EDA, Concept Drift,
Visual Analytics",not existing,"To address this gap, this paper presents the DyLoPro framework, a generic approach that facilitates the exploration of event log dynamics over time using visual analytics. The framework caters to all types of event logs and allows for the exploration of event log dynamics from various process perspectives, both individually and combined with the performance perspective.","Current research on concept drift in process mining has focused on drift detection techniques in the control-flow perspective, with limited capabilities for comprehensive dynamic profiling of event logs.","In this paper, we proposed the DyLoPro framework, complemented with the DyLoPro library, enabling PM researchers and practitioners to efficiently and comprehensively analyze the dynamics in (real-life) event logs over time.",Information systems engineering,,Formal theory,Both,Yes,No,No,,,Framework,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Tool implementation,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Case Study,Verification,,,None,,,,Yes,Yes,
10.0,FS,MH,"Does This Make Sense? Machine
Learning-Based Detection of Semantic
Anomalies in Business Processes","Julian Caspary, Adrian Rebmann, Han van der Aa",https://doi.org/10.1007/978-3-031-41620-0_10,2023.0,Engineering,"Process mining, Anomaly detection, Natural language processing, Machine learning",not existing,"Therefore, we propose a machine learning-based alternative, which uses a classifier trained to recognize whether observed process behavior is normal or anomalous. ","However, the state-of-the-art approach for semantic anomaly detection, a rigid, rule-based approach, is limited in its scope and accuracy. ","In this paper, we proposed an ML-based approach for the detection of semantic anomalies in business processes, allowing users to detect undesired behavior without depending on the availability of a normative process model.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,,,,Ecological Validity,,,,Yes,Yes,
